track_id,track_name,artist_name,valence,energy,danceability,tempo,loudness,key,mode,sentiment_score,popularity,genre,duration_ms,explicit,release_date
track_000,Wild Fire,Romantic Duo,0.375,0.951,0.732,143.8,-16.9,2,0,-0.265,99,R&B,136023,0,2021-03-11
track_001,Pop Sensation,Sweet Dreams,0.056,0.722,0.939,60.1,-0.2,0,1,-0.433,48,Jazz,276730,0,2020-03-14
track_002,Electric Storm,Romantic Duo,0.292,0.366,0.456,169.9,-16.0,6,1,-0.445,50,Country,207313,1,2024-02-29
track_003,Party Time,Energy Crew,0.966,0.808,0.305,73.7,-6.3,6,1,0.497,77,Pop,139457,1,2016-04-30
track_004,Chill Vibes,Wild Fire,0.208,0.568,0.031,177.9,-11.0,9,1,-0.244,77,Country,211387,0,2019-05-23
track_005,Sunshine Days,Sweet Dreams,0.845,0.747,0.54,142.1,-0.7,8,0,0.681,70,Pop,240151,0,2020-04-03
track_006,Night Drive,Sweet Dreams,0.293,0.014,0.199,159.6,-4.2,10,0,-0.244,27,Country,128392,1,2023-09-03
track_007,Sunshine Days,Energy Crew,0.331,0.064,0.311,105.5,-5.4,7,1,0.232,46,Hip-Hop,278338,0,2022-12-28
track_008,Summer Breeze,The Happy Band,0.561,0.771,0.494,133.2,-11.4,9,1,-0.235,51,Classical,230687,1,2020-12-29
track_009,Evening Wine,Sad Songs Inc,0.139,0.604,0.54,88.4,-1.1,6,0,-0.383,41,Classical,293629,0,2017-06-05
track_010,Summer Breeze,The Happy Band,0.871,0.804,0.187,185.0,-9.2,9,0,0.738,0,Pop,257848,1,2023-02-22
track_011,Party Time,Morning Glory,0.861,0.007,0.511,118.4,-15.6,2,1,0.403,31,R&B,188840,1,2022-09-11
track_012,Morning Coffee,The Happy Band,0.065,0.254,0.247,157.5,-5.8,4,0,-0.201,1,Rock,232859,1,2023-06-20
track_013,Calm Waters,Morning Glory,0.279,0.908,0.24,80.3,-10.2,5,1,-0.444,55,Jazz,263760,0,2025-01-01
track_014,City Lights,Energy Crew,0.368,0.632,0.634,135.0,-18.2,0,0,-0.108,19,Electronic,176250,1,2019-02-05
track_015,Winter Nights,The Happy Band,0.711,0.81,0.349,73.5,-1.2,7,1,0.511,10,Electronic,159384,1,2019-10-15
track_016,Sunshine Days,Evening Stars,0.541,0.696,0.229,84.5,-0.4,3,1,-0.144,68,Classical,149855,0,2017-06-03
track_017,Jazz Blues,The Happy Band,0.339,0.349,0.726,185.6,-2.3,7,0,0.085,71,Electronic,299426,1,2018-10-21
track_018,Ocean Waves,The Happy Band,0.94,0.974,0.284,102.8,-10.3,2,1,0.797,67,Pop,211412,1,2021-08-16
track_019,Heartbreak,Angry Rockers,0.65,0.849,0.658,139.6,-18.1,2,1,-0.141,50,Hip-Hop,256967,0,2020-02-16
track_020,Energy Boost,The Happy Band,0.795,0.503,0.577,129.0,-16.1,2,1,0.215,43,Electronic,269661,0,2022-11-17
track_021,Sunshine Days,Chill Vibes,0.915,0.37,0.015,190.0,-11.4,4,0,0.778,62,Classical,235668,1,2020-04-24
track_022,Peaceful Mind,Angry Rockers,0.268,0.485,0.373,115.3,-3.1,2,1,-0.758,22,Rock,176958,0,2018-11-10
track_023,Peaceful Mind,Sweet Dreams,0.877,0.741,0.697,158.3,-12.8,9,0,0.452,23,Classical,230627,0,2025-10-02
track_024,Angry Storm,Energy Crew,0.65,0.702,0.796,184.6,-13.2,1,1,-0.037,24,Rock,246141,0,2019-10-16
track_025,Evening Wine,Evening Stars,0.591,0.031,0.037,175.2,-12.8,4,0,0.197,4,Country,207235,1,2023-05-29
track_026,Happy Days,The Happy Band,0.194,0.411,0.7,79.4,-17.3,1,1,-0.371,62,Jazz,148251,1,2020-05-26
track_027,Party Time,Sad Songs Inc,0.251,0.184,0.081,120.0,-6.2,0,1,-0.251,95,Hip-Hop,125237,1,2024-06-21
track_028,Chill Vibes,Energy Crew,0.935,0.638,0.517,152.0,-11.3,6,0,0.349,85,Pop,213468,1,2022-05-27
track_029,Summer Breeze,Chill Vibes,0.046,0.041,0.855,158.5,-10.5,9,1,-0.505,32,Hip-Hop,179101,0,2020-02-20
track_030,Wild Fire,Romantic Duo,0.048,0.949,0.887,96.5,-19.7,2,1,-0.499,3,R&B,171991,1,2020-12-04
track_031,Happy Days,Morning Glory,0.944,0.867,0.636,172.1,-6.5,2,1,0.277,11,Jazz,158304,1,2022-11-20
track_032,Winter Nights,Night Riders,0.196,0.069,0.101,62.6,-18.1,2,0,-0.757,73,Rock,185953,0,2024-02-13
track_033,Ocean Waves,Night Riders,0.496,0.693,0.348,191.1,-19.2,8,0,0.281,72,R&B,167295,0,2022-09-25
track_034,Love Song,Peaceful Sounds,0.413,0.372,0.776,107.7,-1.4,4,1,-0.043,88,Jazz,272424,1,2022-04-04
track_035,Happy Days,Evening Stars,0.534,0.497,0.39,101.7,-18.0,3,1,0.275,8,Country,179163,1,2018-03-10
track_036,Ocean Waves,Romantic Duo,0.951,0.573,0.632,122.8,-14.1,8,1,0.604,22,R&B,147192,0,2019-11-26
track_037,Pop Sensation,Sweet Dreams,0.931,0.974,0.996,67.8,-5.3,10,0,0.27,73,Rock,295333,0,2022-07-12
track_038,Chill Vibes,The Happy Band,0.701,0.073,0.822,158.9,-18.4,4,1,0.792,85,Electronic,291334,0,2022-03-07
track_039,Summer Breeze,Energy Crew,0.753,0.376,0.084,168.8,-8.8,10,1,0.744,44,Classical,260507,1,2022-11-05
track_040,Sweet Dreams,Wild Fire,0.741,0.767,0.823,164.2,-6.4,8,0,0.487,32,Hip-Hop,234821,1,2015-11-16
track_041,Sad Times,Sweet Dreams,0.978,0.556,0.323,66.1,-1.5,4,1,0.532,17,Country,137640,0,2021-07-25
track_042,Chill Vibes,Wild Fire,0.294,0.996,0.697,113.8,-5.3,10,1,-0.225,75,R&B,186203,0,2022-12-25
track_043,Morning Coffee,Angry Rockers,0.17,0.647,0.388,92.1,-14.7,4,0,-0.644,62,Pop,289160,0,2020-03-25
track_044,Party Time,Sweet Dreams,0.814,0.685,0.163,187.5,-3.5,1,0,0.635,65,Rock,178141,1,2016-09-16
track_045,Sweet Dreams,Angry Rockers,0.045,0.026,0.376,173.5,-0.3,0,0,-0.444,58,Jazz,166540,0,2021-05-02
track_046,Electric Storm,Romantic Duo,0.037,0.134,0.014,70.6,-6.2,4,0,-0.35,22,Classical,130916,1,2016-02-22
track_047,Winter Nights,Sad Songs Inc,0.378,0.241,0.205,95.2,-14.5,3,1,0.227,91,Country,258311,0,2019-10-12
track_048,Sweet Dreams,The Happy Band,0.498,0.476,0.831,103.1,-3.7,4,1,0.226,46,Country,164238,0,2017-11-12
track_049,Party Time,Morning Glory,0.639,0.805,0.903,146.4,-0.4,1,1,0.082,50,Country,195745,1,2025-02-15
track_050,Wild Fire,The Happy Band,0.514,0.784,0.397,147.1,-2.8,4,0,-0.212,73,Pop,139963,1,2017-07-04
track_051,Calm Waters,Peaceful Sounds,0.046,0.621,0.347,89.3,-8.4,10,0,-0.478,79,Country,257162,1,2020-07-04
track_052,Happy Days,Romantic Duo,0.641,0.182,0.346,185.6,-10.5,1,0,-0.185,4,Rock,231195,1,2018-09-27
track_053,Night Drive,Sweet Dreams,0.089,0.121,0.461,88.9,-12.7,9,0,-0.607,46,Pop,294293,0,2022-11-07
track_054,Party Time,Wild Fire,0.874,0.921,0.061,98.8,-3.9,0,0,0.311,85,Hip-Hop,247449,1,2019-12-27
track_055,Evening Wine,Sad Songs Inc,0.463,0.747,0.037,95.3,-5.7,6,1,0.15,37,Jazz,154674,0,2022-06-24
track_056,Energy Boost,Chill Vibes,0.269,0.377,0.02,105.1,-15.8,9,1,-0.728,24,Electronic,127561,0,2025-03-03
track_057,Dancing Queen,Romantic Duo,0.498,0.087,0.537,142.2,-5.1,0,1,-0.223,5,Electronic,168447,1,2016-03-08
